"sample_id","rna_extraction_batch","seq_batch","photoperiod","Projected.ZT","Cage"
"3212-OC-1","3212_1",3212,"EQUINOX",14,"A"
"3212-OC-2","3212_1",3212,"EQUINOX",14,"A"
"3212-OC-4","3212_1",3212,"EQUINOX",2,"B"
"3212-OC-5","3212_1",3212,"EQUINOX",2,"B"
"3518-OC-1","3518_1",3518,"SHORT",4,"C"
"3518-OC-2","3518_1",3518,"SHORT",4,"C"
"3518-OC-3","3518_1",3518,"SHORT",4,"C"
"3518-OC-7","3518_1",3518,"EQUINOX",14,"D"
"3518-OC-8","3518_1",3518,"EQUINOX",14,"D"
"3518-OC-9","3518_1",3518,"EQUINOX",6,"E"
"3518-OC-10","3518_1",3518,"EQUINOX",6,"E"
"3518-OC-11","3518_1",3518,"EQUINOX",6,"E"
"3518-OC-15","3518_1",3518,"SHORT",8,"F"
"3518-OC-16","3518_1",3518,"SHORT",8,"F"
"3518-OC-17","3518_1",3518,"SHORT",8,"F"
"3518-OC-22","3518_1",3518,"EQUINOX",10,"G"
"3518-OC-23","3518_1",3518,"EQUINOX",10,"G"
"3518-OC-24","3518_1",3518,"EQUINOX",10,"G"
"3518-OC-25","3518_2",3518,"SHORT",16,"H"
"3518-OC-26","3518_2",3518,"SHORT",16,"H"
"3518-OC-27","3518_2",3518,"SHORT",16,"H"
"3518-OC-28","3518_2",3518,"SHORT",16,"H"
"3518-OC-29","3518_2",3518,"SHORT",16,"H"
"3518-OC-37","3518_2",3518,"SHORT",8,"I"
"3518-OC-38","3518_2",3518,"SHORT",0,"J"
"3518-OC-39","3518_2",3518,"SHORT",0,"J"
"3518-OC-40","3518_2",3518,"SHORT",0,"J"
"3518-OC-41","3518_2",3518,"SHORT",0,"J"
"3518-OC-46","3518_3",3518,"EQUINOX",18,"K"
"3518-OC-47","3518_3",3518,"EQUINOX",18,"K"
"5209-OC-1","5209_1",5209,"LONG",16,"L"
"5209-OC-2","5209_1",5209,"LONG",16,"L"
"5209-OC-3","5209_1",5209,"LONG",16,"L"
"5209-OC-4","5209_1",5209,"LONG",16,"L"
"5209-OC-5","5209_1",5209,"LONG",16,"L"
"5209-OC-6","5209_1",5209,"SHORT",20,"M"
"5209-OC-7","5209_1",5209,"SHORT",20,"M"
"5209-OC-9","5209_1",5209,"LONG",0,"N"
"5209-OC-10","5209_1",5209,"EQUINOX",22,"O"
"5209-OC-11","5209_1",5209,"EQUINOX",22,"O"
"5209-OC-12","5209_1",5209,"EQUINOX",22,"O"
"5209-OC-13","5209_1",5209,"EQUINOX",22,"O"
"5209-OC-14","5209_1",5209,"LONG",16,"P"
"5209-OC-15","5209_1",5209,"LONG",16,"P"
"5209-OC-16","5209_1",5209,"LONG",16,"Q"
"5209-OC-17","5209_1",5209,"LONG",16,"Q"
"5209-OC-18","5209_1",5209,"LONG",16,"Q"
"5209-OC-19","5209_1",5209,"SHORT",20,"R"
"5209-OC-20","5209_1",5209,"SHORT",20,"R"
"5209-OC-21","5209_1",5209,"LONG",12,"S"
"5209-OC-24","5209_1",5209,"SHORT",12,"T"
"5209-OC-25","5209_2",5209,"SHORT",12,"U"
"5209-OC-26","5209_2",5209,"SHORT",12,"U"
"5209-OC-27","5209_2",5209,"SHORT",12,"U"
"5209-OC-28","5209_2",5209,"EQUINOX",2,"V"
"5209-OC-29","5209_2",5209,"EQUINOX",2,"V"
"5209-OC-30","5209_2",5209,"EQUINOX",2,"V"
"5209-OC-31","5209_2",5209,"SHORT",4,"W"
"5209-OC-32","5209_2",5209,"SHORT",4,"W"
"5209-OC-33","5209_2",5209,"LONG",4,"X"
"5209-OC-34","5209_2",5209,"LONG",4,"X"
"5209-OC-35","5209_2",5209,"LONG",4,"X"
"5209-OC-36","5209_2",5209,"LONG",4,"Y"
"5209-OC-37","5209_2",5209,"LONG",4,"Y"
"5209-OC-38","5209_2",5209,"LONG",4,"Y"
"5209-OC-39","5209_2",5209,"LONG",8,"Z"
"5209-OC-40","5209_2",5209,"LONG",8,"Z"
"5209-OC-41","5209_2",5209,"LONG",8,"Z"
"5209-OC-43","5209_2",5209,"SHORT",0,"AA"
"5209-OC-44","5209_2",5209,"SHORT",0,"AA"
"5209-OC-45","5209_2",5209,"SHORT",0,"AA"
"5209-OC-47","5209_2",5209,"EQUINOX",6,"BB"
"5209-OC-48","5209_2",5209,"EQUINOX",6,"BB"
"5209-OC-49","5209_3",5209,"LONG",4,"CC"
"5209-OC-50","5209_3",5209,"LONG",4,"CC"
"5209-OC-51","5209_3",5209,"LONG",4,"CC"
"5209-OC-52","5209_3",5209,"SHORT",20,"DD"
"5209-OC-53","5209_3",5209,"SHORT",20,"DD"
"5209-OC-54","5209_3",5209,"SHORT",20,"DD"
"5209-OC-55","5209_3",5209,"LONG",12,"EE"
"5209-OC-56","5209_3",5209,"LONG",12,"EE"
"5209-OC-57","5209_3",5209,"LONG",12,"EE"
"5209-OC-58","5209_3",5209,"LONG",20,"FF"
"5209-OC-59","5209_3",5209,"LONG",20,"FF"
"5209-OC-61","5209_3",5209,"LONG",8,"GG"
"5209-OC-62","5209_3",5209,"LONG",8,"GG"
"5209-OC-63","5209_3",5209,"LONG",8,"GG"
"5209-OC-64","5209_3",5209,"LONG",4,"HH"
"5209-OC-65","5209_3",5209,"LONG",4,"HH"
"5209-OC-66","5209_3",5209,"LONG",20,"HH"
"5728-OC-1","5728_1",5728,"EQUINOX",18,"II"
"5728-OC-2","5728_1",5728,"EQUINOX",18,"II"
"5728-OC-3","5728_1",5728,"LONG",0,"JJ"
"5728-OC-4","5728_1",5728,"LONG",0,"JJ"
"5728-OC-5","5728_1",5728,"LONG",0,"JJ"
"5728-OC-6","5728_1",5728,"EQUINOX",10,"KK"
"5728-OC-7","5728_1",5728,"EQUINOX",10,"KK"
"5728-OC-8","5728_1",5728,"EQUINOX",10,"KK"
"5728-OC-9","5728_1",5728,"EQUINOX",10,"KK"
"5728-OC-10","5728_1",5728,"EQUINOX",14,"LL"
"5728-OC-11","5728_1",5728,"EQUINOX",14,"LL"
"5728-OC-12","5728_1",5728,"EQUINOX",14,"LL"
"5728-OC-14","5728_1",5728,"EQUINOX",14,"MM"
"5728-OC-15","5728_1",5728,"LONG",4,"NN"
"5728-OC-16","5728_1",5728,"LONG",4,"NN"
"5728-OC-17","5728_1",5728,"LONG",4,"NN"
"5728-OC-18","5728_1",5728,"LONG",4,"NN"
"5728-OC-19","5728_1",5728,"LONG",4,"OO"
"5728-OC-20","5728_1",5728,"LONG",20,"PP"
"5728-OC-22","5728_1",5728,"LONG",20,"PP"
"5728-OC-23","5728_1",5728,"LONG",20,"PP"
"5728-OC-24","5728_1",5728,"LONG",20,"PP"
"5728-OC-25","5728_2",5728,"LONG",12,"QQ"
"5728-OC-26","5728_2",5728,"LONG",12,"QQ"
"5728-OC-27","5728_2",5728,"SHORT",12,"RR"
"5728-OC-28","5728_2",5728,"SHORT",12,"RR"
"5728-OC-29","5728_2",5728,"SHORT",12,"RR"
"5728-OC-30","5728_2",5728,"SHORT",12,"SS"
"5728-OC-31","5728_2",5728,"SHORT",12,"SS"
"5728-OC-32","5728_2",5728,"SHORT",4,"TT"
"5728-OC-33","5728_2",5728,"SHORT",4,"TT"
"5728-OC-35","5728_2",5728,"EQUINOX",2,"UU"
"5728-OC-37","5728_2",5728,"EQUINOX",2,"UU"
"5728-OC-38","5728_2",5728,"LONG",8,"VV"
"5728-OC-39","5728_2",5728,"LONG",8,"VV"
"5728-OC-40","5728_2",5728,"LONG",8,"VV"
"5728-OC-41","5728_2",5728,"LONG",8,"VV"
"5728-OC-42","5728_2",5728,"LONG",8,"WW"
"5728-OC-43","5728_2",5728,"LONG",8,"WW"
"5728-OC-44","5728_2",5728,"LONG",12,"XX"
"5728-OC-45","5728_2",5728,"LONG",12,"XX"
"5728-OC-46","5728_2",5728,"LONG",12,"XX"
"5728-OC-47","5728_3",5728,"SHORT",8,"YY"
"5728-OC-48","5728_3",5728,"SHORT",8,"YY"
"5728-OC-49","5728_3",5728,"EQUINOX",22,"ZZ"
"5728-OC-50","5728_3",5728,"EQUINOX",22,"ZZ"
"5728-OC-51","5728_3",5728,"EQUINOX",22,"ZZ"
"5728-OC-52","5728_3",5728,"EQUINOX",22,"ZZ"
"5728-OC-53","5728_3",5728,"EQUINOX",22,"ZZ"
"5728-OC-54","5728_3",5728,"EQUINOX",22,"AAA"
"5728-OC-55","5728_3",5728,"EQUINOX",22,"AAA"
"5728-OC-56","5728_3",5728,"LONG",0,"BBB"
"5728-OC-57","5728_3",5728,"LONG",0,"BBB"
"5728-OC-58","5728_3",5728,"SHORT",20,"CCC"
"5728-OC-59","5728_3",5728,"SHORT",20,"CCC"
"5728-OC-60","5728_3",5728,"SHORT",20,"CCC"
"5728-OC-61","5728_3",5728,"SHORT",8,"DDD"
"5728-OC-62","5728_3",5728,"SHORT",8,"DDD"
"5728-OC-64","5728_3",5728,"EQUINOX",18,"EEE"
"5728-OC-65","5728_3",5728,"EQUINOX",18,"EEE"
"5728-OC-66","5728_3",5728,"EQUINOX",18,"EEE"
"5728-OC-67","5728_3",5728,"EQUINOX",18,"EEE"
"5728-OC-68","5728_3",5728,"EQUINOX",18,"FFF"
"5728-OC-69","5728_3",5728,"EQUINOX",18,"FFF"
"5728-OC-70","5728_4",5728,"LONG",20,"GGG"
"5728-OC-71","5728_4",5728,"LONG",20,"GGG"
"5728-OC-72","5728_4",5728,"EQUINOX",6,"HHH"
"5728-OC-73","5728_4",5728,"EQUINOX",6,"HHH"
"5728-OC-74","5728_4",5728,"EQUINOX",6,"HHH"
"5728-OC-75","5728_4",5728,"SHORT",16,"III"
"5728-OC-76","5728_4",5728,"SHORT",16,"III"
"5728-OC-77","5728_4",5728,"SHORT",16,"III"
"5728-OC-78","5728_4",5728,"SHORT",16,"III"
"5728-OC-79","5728_4",5728,"SHORT",16,"III"
"5728-OC-80","5728_4",5728,"EQUINOX",2,"JJJ"
"5728-OC-81","5728_4",5728,"EQUINOX",2,"JJJ"
"5728-OC-82","5728_4",5728,"SHORT",4,"KKK"
"5728-OC-83","5728_4",5728,"SHORT",4,"KKK"
"5728-OC-84","5728_4",5728,"SHORT",4,"KKK"
"5728-OC-85","5728_5",5728,"EQUINOX",10,"LLL"
"5728-OC-86","5728_5",5728,"EQUINOX",10,"LLL"
"5728-OC-87","5728_5",5728,"SHORT",0,"MMM"
"5728-OC-88","5728_5",5728,"SHORT",0,"MMM"
"5728-OC-89","5728_5",5728,"SHORT",0,"NNN"
"5728-OC-90","5728_5",5728,"SHORT",0,"NNN"
"5728-OC-91","5728_5",5728,"EQUINOX",6,"OOO"
"5728-OC-92","5728_5",5728,"EQUINOX",6,"OOO"
"5728-OC-93","5728_5",5728,"EQUINOX",6,"OOO"
"5728-OC-94","5728_5",5728,"LONG",0,"PPP"
"5728-OC-95","5728_5",5728,"LONG",0,"PPP"
"5728-OC-96","5728_5",5728,"LONG",0,"PPP"
